{'tipo': 'illo', 'fecha_emision': datetime.date(2022, 10, 14), 'fecha_caducidad': datetime.date(2024, 7, 25), 'precio': Decimal('601.98')}
{'tipo': 'voluptates', 'fecha_emision': datetime.date(2022, 11, 28), 'fecha_caducidad': datetime.date(2023, 12, 5), 'precio': Decimal('60.25')}
{'tipo': 'nisi', 'fecha_emision': datetime.date(2023, 2, 16), 'fecha_caducidad': datetime.date(2024, 2, 24), 'precio': Decimal('430.06')}
{'tipo': 'ratione', 'fecha_emision': datetime.date(2023, 4, 20), 'fecha_caducidad': datetime.date(2024, 6, 18), 'precio': Decimal('19.68')}
{'tipo': 'dolor', 'fecha_emision': datetime.date(2023, 1, 28), 'fecha_caducidad': datetime.date(2023, 8, 15), 'precio': Decimal('176.44')}
{'tipo': 'culpa', 'fecha_emision': datetime.date(2022, 8, 14), 'fecha_caducidad': datetime.date(2024, 5, 1), 'precio': Decimal('934.07')}
{'tipo': 'accusamus', 'fecha_emision': datetime.date(2022, 12, 9), 'fecha_caducidad': datetime.date(2024, 2, 6), 'precio': Decimal('819.41')}
{'tipo': 'sed', 'fecha_emision': datetime.date(2022, 10, 10), 'fecha_caducidad': datetime.date(2023, 12, 17), 'precio': Decimal('13.89')}
{'tipo': 'totam', 'fecha_emision': datetime.date(2023, 7, 8), 'fecha_caducidad': datetime.date(2023, 11, 29), 'precio': Decimal('774.28')}
{'tipo': 'nam', 'fecha_emision': datetime.date(2022, 8, 14), 'fecha_caducidad': datetime.date(2023, 12, 7), 'precio': Decimal('995.52')}
{'tipo': 'numquam', 'fecha_emision': datetime.date(2023, 7, 28), 'fecha_caducidad': datetime.date(2023, 10, 4), 'precio': Decimal('360.23')}
{'tipo': 'optio', 'fecha_emision': datetime.date(2023, 7, 18), 'fecha_caducidad': datetime.date(2024, 1, 13), 'precio': Decimal('95.04')}
{'tipo': 'qui', 'fecha_emision': datetime.date(2023, 4, 2), 'fecha_caducidad': datetime.date(2024, 3, 30), 'precio': Decimal('754.37')}
{'tipo': 'consequatur', 'fecha_emision': datetime.date(2023, 3, 22), 'fecha_caducidad': datetime.date(2023, 9, 7), 'precio': Decimal('589.21')}
{'tipo': 'sunt', 'fecha_emision': datetime.date(2023, 3, 20), 'fecha_caducidad': datetime.date(2024, 5, 15), 'precio': Decimal('108.82')}
{'tipo': 'maiores', 'fecha_emision': datetime.date(2023, 2, 3), 'fecha_caducidad': datetime.date(2023, 10, 20), 'precio': Decimal('188.79')}
{'tipo': 'velit', 'fecha_emision': datetime.date(2022, 9, 24), 'fecha_caducidad': datetime.date(2023, 11, 10), 'precio': Decimal('383.55')}
{'tipo': 'quidem', 'fecha_emision': datetime.date(2023, 6, 15), 'fecha_caducidad': datetime.date(2023, 8, 27), 'precio': Decimal('630.98')}
{'tipo': 'repellendus', 'fecha_emision': datetime.date(2023, 1, 9), 'fecha_caducidad': datetime.date(2024, 2, 26), 'precio': Decimal('175.88')}
{'tipo': 'aperiam', 'fecha_emision': datetime.date(2023, 4, 5), 'fecha_caducidad': datetime.date(2023, 10, 15), 'precio': Decimal('237.69')}
{'tipo': 'hic', 'fecha_emision': datetime.date(2023, 2, 3), 'fecha_caducidad': datetime.date(2023, 9, 10), 'precio': Decimal('726.73')}
{'tipo': 'laudantium', 'fecha_emision': datetime.date(2023, 6, 15), 'fecha_caducidad': datetime.date(2024, 2, 15), 'precio': Decimal('905.27')}
{'tipo': 'odit', 'fecha_emision': datetime.date(2022, 12, 11), 'fecha_caducidad': datetime.date(2024, 4, 13), 'precio': Decimal('175.73')}
{'tipo': 'modi', 'fecha_emision': datetime.date(2022, 10, 4), 'fecha_caducidad': datetime.date(2024, 3, 14), 'precio': Decimal('464.42')}
{'tipo': 'mollitia', 'fecha_emision': datetime.date(2023, 3, 2), 'fecha_caducidad': datetime.date(2024, 1, 24), 'precio': Decimal('917.73')}
{'tipo': 'quod', 'fecha_emision': datetime.date(2022, 8, 17), 'fecha_caducidad': datetime.date(2024, 1, 21), 'precio': Decimal('150.50')}
{'tipo': 'cumque', 'fecha_emision': datetime.date(2023, 2, 2), 'fecha_caducidad': datetime.date(2024, 7, 14), 'precio': Decimal('377.70')}
{'tipo': 'vel', 'fecha_emision': datetime.date(2023, 4, 23), 'fecha_caducidad': datetime.date(2023, 8, 10), 'precio': Decimal('826.32')}
{'tipo': 'aut', 'fecha_emision': datetime.date(2022, 9, 27), 'fecha_caducidad': datetime.date(2023, 9, 16), 'precio': Decimal('152.64')}
{'tipo': 'id', 'fecha_emision': datetime.date(2023, 3, 19), 'fecha_caducidad': datetime.date(2023, 12, 19), 'precio': Decimal('551.07')}
{'tipo': 'vel', 'fecha_emision': datetime.date(2022, 8, 27), 'fecha_caducidad': datetime.date(2023, 8, 19), 'precio': Decimal('407.12')}
{'tipo': 'molestias', 'fecha_emision': datetime.date(2022, 8, 12), 'fecha_caducidad': datetime.date(2024, 2, 1), 'precio': Decimal('201.09')}
{'tipo': 'quo', 'fecha_emision': datetime.date(2022, 8, 24), 'fecha_caducidad': datetime.date(2024, 4, 18), 'precio': Decimal('800.09')}
{'tipo': 'placeat', 'fecha_emision': datetime.date(2023, 1, 16), 'fecha_caducidad': datetime.date(2024, 2, 20), 'precio': Decimal('642.23')}
{'tipo': 'sapiente', 'fecha_emision': datetime.date(2022, 8, 26), 'fecha_caducidad': datetime.date(2023, 11, 15), 'precio': Decimal('242.33')}
{'tipo': 'temporibus', 'fecha_emision': datetime.date(2023, 5, 1), 'fecha_caducidad': datetime.date(2024, 6, 15), 'precio': Decimal('775.40')}
{'tipo': 'molestiae', 'fecha_emision': datetime.date(2022, 12, 9), 'fecha_caducidad': datetime.date(2023, 9, 19), 'precio': Decimal('711.75')}
{'tipo': 'officiis', 'fecha_emision': datetime.date(2023, 2, 25), 'fecha_caducidad': datetime.date(2024, 2, 21), 'precio': Decimal('956.45')}
{'tipo': 'ex', 'fecha_emision': datetime.date(2023, 2, 7), 'fecha_caducidad': datetime.date(2023, 10, 27), 'precio': Decimal('793.32')}
{'tipo': 'asperiores', 'fecha_emision': datetime.date(2022, 10, 23), 'fecha_caducidad': datetime.date(2024, 2, 19), 'precio': Decimal('973.12')}
{'tipo': 'reprehenderit', 'fecha_emision': datetime.date(2023, 2, 20), 'fecha_caducidad': datetime.date(2024, 1, 9), 'precio': Decimal('762.35')}
